Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite3_Listeners,Chrome 108.0.0.0,,,2022-12-12 19:59:47,2022-12-12 19:59:58,10.901s,PASSED
,,,,,,,
Test Cases/1.LoginTest/Test1_LoginTest,Chrome 108.0.0.0,,,2022-12-12 19:59:47,2022-12-12 19:59:58,10.458s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-12 19:59:47,2022-12-12 19:59:47,0.003s,PASSED
"println(""... I am inside Test1_LoginTest function"")",Chrome 108.0.0.0,,,2022-12-12 19:59:48,2022-12-12 19:59:48,0.005s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-12 19:59:48,2022-12-12 19:59:51,3.054s,PASSED
navigateToUrl(Url),Chrome 108.0.0.0,,,2022-12-12 19:59:51,2022-12-12 19:59:55,4.317s,PASSED
"setText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Username_username""), Username)",Chrome 108.0.0.0,,,2022-12-12 19:59:55,2022-12-12 19:59:57,1.560s,PASSED
"setEncryptedText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Password_password""), EncryptedPassword)",Chrome 108.0.0.0,,,2022-12-12 19:59:57,2022-12-12 19:59:57,0.559s,PASSED
"click(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-12 19:59:57,2022-12-12 19:59:58,0.400s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-12 19:59:58,2022-12-12 19:59:58,0.002s,PASSED
