Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite2_forDataDriven,Chrome 108.0.0.0,,,2022-12-20 12:14:14,2022-12-20 12:14:38,24.362s,PASSED
,,,,,,,
Test Cases/DataDrivenTests/Test2_DataDriven,Chrome 108.0.0.0,,,2022-12-20 12:14:14,2022-12-20 12:14:24,9.388s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-20 12:14:14,2022-12-20 12:14:14,0.002s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-20 12:14:15,2022-12-20 12:14:17,2.777s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 108.0.0.0,,,2022-12-20 12:14:17,2022-12-20 12:14:20,2.782s,PASSED
"setText(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 108.0.0.0,,,2022-12-20 12:14:20,2022-12-20 12:14:21,0.819s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 108.0.0.0,,,2022-12-20 12:14:21,2022-12-20 12:14:21,0.001s,NOT_RUN
"setText(findTestObject(""RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 108.0.0.0,,,2022-12-20 12:14:21,2022-12-20 12:14:22,0.769s,PASSED
"click(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/button_Login""))",Chrome 108.0.0.0,,,2022-12-20 12:14:22,2022-12-20 12:14:23,1.106s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-20 12:14:23,2022-12-20 12:14:24,0.766s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-20 12:14:24,2022-12-20 12:14:24,0.002s,PASSED
,,,,,,,
Test Cases/DataDrivenTests/Test2_DataDriven,Chrome 108.0.0.0,,,2022-12-20 12:14:24,2022-12-20 12:14:31,7.449s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-20 12:14:24,2022-12-20 12:14:24,0.001s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-20 12:14:24,2022-12-20 12:14:25,1.237s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 108.0.0.0,,,2022-12-20 12:14:25,2022-12-20 12:14:28,3.238s,PASSED
"setText(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 108.0.0.0,,,2022-12-20 12:14:28,2022-12-20 12:14:29,0.646s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 108.0.0.0,,,2022-12-20 12:14:29,2022-12-20 12:14:29,0.001s,NOT_RUN
"setText(findTestObject(""RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 108.0.0.0,,,2022-12-20 12:14:29,2022-12-20 12:14:30,0.756s,PASSED
"click(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/button_Login""))",Chrome 108.0.0.0,,,2022-12-20 12:14:30,2022-12-20 12:14:30,0.907s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-20 12:14:30,2022-12-20 12:14:31,0.648s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-20 12:14:31,2022-12-20 12:14:31,0.001s,PASSED
,,,,,,,
Test Cases/DataDrivenTests/Test2_DataDriven,Chrome 108.0.0.0,,,2022-12-20 12:14:31,2022-12-20 12:14:38,7.048s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-20 12:14:31,2022-12-20 12:14:31,0.001s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-20 12:14:31,2022-12-20 12:14:32,1.142s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 108.0.0.0,,,2022-12-20 12:14:32,2022-12-20 12:14:35,2.638s,PASSED
"setText(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 108.0.0.0,,,2022-12-20 12:14:35,2022-12-20 12:14:36,0.890s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 108.0.0.0,,,2022-12-20 12:14:36,2022-12-20 12:14:36,0.001s,NOT_RUN
"setText(findTestObject(""RecordOnExistingBrowser/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 108.0.0.0,,,2022-12-20 12:14:36,2022-12-20 12:14:36,0.667s,PASSED
"click(findTestObject(""Object Repository/RecordOnExistingBrowser/Page_CURA Healthcare Service/button_Login""))",Chrome 108.0.0.0,,,2022-12-20 12:14:36,2022-12-20 12:14:37,1.008s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-20 12:14:37,2022-12-20 12:14:38,0.692s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-20 12:14:38,2022-12-20 12:14:38,0.001s,PASSED
