Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MKP,Chrome 108.0.0.0,,,2023-01-03 10:10:13,2023-01-03 10:13:02,2m - 48.882s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_24 hours,Chrome 108.0.0.0,,,2023-01-03 10:10:14,2023-01-03 10:10:27,13.802s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 10:10:14,2023-01-03 10:10:14,0.002s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 10:10:14,2023-01-03 10:10:17,3.145s,PASSED
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 10:10:17,2023-01-03 10:10:19,1.946s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:19,2023-01-03 10:10:20,0.673s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 10:10:20,2023-01-03 10:10:21,0.967s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 10:10:21,2023-01-03 10:10:21,0.169s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 10:10:21,2023-01-03 10:10:22,0.624s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 10:10:22,2023-01-03 10:10:22,0.593s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 10:10:22,2023-01-03 10:10:23,1.237s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 10:10:23,2023-01-03 10:10:24,0.505s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:10:24,2023-01-03 10:10:24,0.287s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:10:24,2023-01-03 10:10:24,0.255s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:24,2023-01-03 10:10:25,0.404s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 108.0.0.0,,,2023-01-03 10:10:25,2023-01-03 10:10:25,0.340s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Date Range_24 hours""))",Chrome 108.0.0.0,,,2023-01-03 10:10:25,2023-01-03 10:10:25,0.346s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Confirm_Duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:25,2023-01-03 10:10:26,0.335s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:26,2023-01-03 10:10:26,0.173s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""))",Chrome 108.0.0.0,,,2023-01-03 10:10:26,2023-01-03 10:10:26,0.321s,PASSED
"click(findTestObject(""1.MKP/Sell/button_Close_Popup""))",Chrome 108.0.0.0,,,2023-01-03 10:10:26,2023-01-03 10:10:27,0.247s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-03 10:10:27,2023-01-03 10:10:27,0.922s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-01-03 10:10:27,2023-01-03 10:10:27,0.002s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_3 days,Chrome 108.0.0.0,,,2023-01-03 10:10:27,2023-01-03 10:10:37,9.940s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 10:10:28,2023-01-03 10:10:28,0.001s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 10:10:28,2023-01-03 10:10:30,2.248s,PASSED
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 10:10:30,2023-01-03 10:10:31,0.723s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:31,2023-01-03 10:10:32,0.785s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 10:10:32,2023-01-03 10:10:32,0.350s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 10:10:32,2023-01-03 10:10:33,0.429s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 10:10:33,2023-01-03 10:10:33,0.599s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 10:10:33,2023-01-03 10:10:34,0.478s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 10:10:34,2023-01-03 10:10:34,0.535s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 10:10:34,2023-01-03 10:10:35,0.361s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:10:35,2023-01-03 10:10:35,0.249s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:10:35,2023-01-03 10:10:35,0.174s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:35,2023-01-03 10:10:35,0.281s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 108.0.0.0,,,2023-01-03 10:10:35,2023-01-03 10:10:36,0.256s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Date Range_3 days""))",Chrome 108.0.0.0,,,2023-01-03 10:10:36,2023-01-03 10:10:36,0.259s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Confirm_Duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:36,2023-01-03 10:10:36,0.170s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:36,2023-01-03 10:10:36,0.142s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""))",Chrome 108.0.0.0,,,2023-01-03 10:10:36,2023-01-03 10:10:36,0.168s,PASSED
"click(findTestObject(""1.MKP/Sell/button_Close_Popup""))",Chrome 108.0.0.0,,,2023-01-03 10:10:36,2023-01-03 10:10:36,0.165s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-03 10:10:36,2023-01-03 10:10:37,0.944s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-01-03 10:10:37,2023-01-03 10:10:37,0.001s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_3 days_Private Listing_Add Member,Chrome 108.0.0.0,,,2023-01-03 10:10:37,2023-01-03 10:10:51,13.166s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 10:10:37,2023-01-03 10:10:37,0.000s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 10:10:38,2023-01-03 10:10:40,2.514s,PASSED
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 10:10:40,2023-01-03 10:10:43,2.851s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:43,2023-01-03 10:10:44,0.740s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 10:10:44,2023-01-03 10:10:44,0.675s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 10:10:44,2023-01-03 10:10:45,0.361s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 10:10:45,2023-01-03 10:10:45,0.379s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 10:10:45,2023-01-03 10:10:46,0.526s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 10:10:46,2023-01-03 10:10:46,0.647s,PASSED
